Id,WindowId,FileName,AriaOpera,AriaLabel,AriaName,Act,Scene,ActAndScene,Year,Decade,Composer,Character,Gender,Harmony_Analysis_Available
50,0,/home/federico/galuppi-perez/data/corpus/xml/Ale119X-Se_la-1738-Galuppi[1.05][1268].xml,Ale,Ale119X,Se_la,1,05,105,1738,1730s,Baldassare Galuppi,Timagene,Male,1
51,0,/home/federico/galuppi-perez/data/corpus/xml/Ale11M-Se_amore-1749-Perez[1.15][1371].xml,Ale,Ale11M,Se_amore,1,15,115,1749,1740s,Davide Perez,Cleofide,Male,1
52,0,/home/federico/galuppi-perez/data/corpus/xml/Ale11M-Se_amore-1752-Perez[1.15][1064].xml,Ale,Ale11M,Se_amore,1,15,115,1752,1750s,Davide Perez,Alessandro,Male,1
53,0,/home/federico/galuppi-perez/data/corpus/xml/Ale11M-Se_amore-1755-Galuppi[1.15][0677].xml,Ale,Ale11M,Se_amore,1,15,115,1755,1750s,Baldassare Galuppi,Alessandro,Male,1
54,0,/home/federico/galuppi-perez/data/corpus/xml/Ale12M-Non_sarei-1755-Galuppi[2.04][0680].xml,Ale,Ale12M,Non_sarei,2,04,204,1755,1750s,Baldassare Galuppi,Erissena,Male,1
55,0,/home/federico/galuppi-perez/data/corpus/xml/Ale13M-Senza_procelle-1755-Perez[2.04][0698].xml,Ale,Ale13M,Senza_procelle,2,04,204,1755,1750s,Davide Perez,Poro,Male,1
56,0,/home/federico/galuppi-perez/data/corpus/xml/Ale15M-Dun_barbaro-1749-Perez[2.04][1372].xml,Ale,Ale15M,Dun_barbaro,2,04,204,1749,1740s,Davide Perez,Alessandro,Male,1
57,0,/home/federico/galuppi-perez/data/corpus/xml/Ale16M-Digli_che-1738-Galuppi[2.09][1279].xml,Ale,Ale16M,Digli_che,2,09,209,1738,1730s,Baldassare Galuppi,Cleofide,Male,1
58,0,/home/federico/galuppi-perez/data/corpus/xml/Ale16M-Digli_che-1749-Perez[2.05][1373].xml,Ale,Ale16M,Digli_che,2,05,205,1749,1740s,Davide Perez,Cleofide,Male,1
59,0,/home/federico/galuppi-perez/data/corpus/xml/Ale16M-Digli_che-1755-Galuppi[2.09][0682].xml,Ale,Ale16M,Digli_che,2,09,209,1755,1750s,Baldassare Galuppi,Cleofide,Male,1
60,0,/home/federico/galuppi-perez/data/corpus/xml/Ale16M-Digli_che-1755-Perez[2.09][0709].xml,Ale,Ale16M,Digli_che,2,09,209,1755,1750s,Davide Perez,Ceofide,Male,1
61,0,/home/federico/galuppi-perez/data/corpus/xml/Ale17M-Destrier_che-1738-Galuppi[2.10][1280].xml,Ale,Ale17M,Destrier_che,2,10,210,1738,1730s,Baldassare Galuppi,Poro,Male,1
62,0,/home/federico/galuppi-perez/data/corpus/xml/Ale17M-Destrier_che-1749-Perez[2.06][1374].xml,Ale,Ale17M,Destrier_che,2,06,206,1749,1740s,Davide Perez,Poro,Male,1
63,0,/home/federico/galuppi-perez/data/corpus/xml/Ale17M-Destrier_che-1755-Galuppi[2.10][0683].xml,Ale,Ale17M,Destrier_che,2,10,210,1755,1750s,Baldassare Galuppi,Poro,Male,1
64,0,/home/federico/galuppi-perez/data/corpus/xml/Ale17M-Destrier_che-1755-Perez[2.10][0710].xml,Ale,Ale17M,Destrier_che,2,10,210,1755,1750s,Davide Perez,Poro,Male,1
65,0,/home/federico/galuppi-perez/data/corpus/xml/Ale18M-E_ver-1749-Perez[2.07][1375].xml,Ale,Ale18M,E_ver,2,07,207,1749,1740s,Davide Perez,Timagene,Male,1
66,0,/home/federico/galuppi-perez/data/corpus/xml/Ale19M-Se_e-1738-Galuppi[2.13][0700].xml,Ale,Ale19M,Se_e,2,13,213,1738,1730s,Baldassare Galuppi,Alessandro,Male,1
67,0,/home/federico/galuppi-perez/data/corpus/xml/Ale19M-Se_e-1749-Perez[2.09][1376].xml,Ale,Ale19M,Se_e,2,09,209,1749,1740s,Davide Perez,Alessandro,Male,1
68,0,/home/federico/galuppi-perez/data/corpus/xml/Ale19M-Se_e-1755-Perez[2.12][0711].xml,Ale,Ale19M,Se_e,2,12,212,1755,1750s,Davide Perez,Alessandro,Male,1
69,0,/home/federico/galuppi-perez/data/corpus/xml/Ale20M-Se_il-1749-Perez[2.10][1377].xml,Ale,Ale20M,Se_il,2,10,210,1749,1740s,Davide Perez,Cleofide,Male,1
70,0,/home/federico/galuppi-perez/data/corpus/xml/Ale20M-Se_il-1755-Perez[2.13][0712].xml,Ale,Ale20M,Se_il,2,13,213,1755,1750s,Davide Perez,Cleofide,Male,1
71,0,/home/federico/galuppi-perez/data/corpus/xml/Ale21M-Se_viver-1738-Galuppi[2.11][1281].xml,Ale,Ale21M,Se_viver,2,11,211,1738,1730s,Baldassare Galuppi,Timagene,Male,1
72,0,/home/federico/galuppi-perez/data/corpus/xml/Ale21M-Se_viver-1749-Perez[2.11][1378].xml,Ale,Ale21M,Se_viver,2,11,211,1749,1740s,Davide Perez,Gandarte,Male,1
73,0,/home/federico/galuppi-perez/data/corpus/xml/Ale21M-Se_viver-1755-Perez[2.14][0713].xml,Ale,Ale21M,Se_viver,2,14,214,1755,1750s,Davide Perez,Gandarte,Male,1
74,0,/home/federico/galuppi-perez/data/corpus/xml/Ale22M-Di_rendermi-1738-Galuppi[2.16][1282].xml,Ale,Ale22M,Di_rendermi,2,16,216,1738,1730s,Baldassare Galuppi,Erissena,Male,1
75,0,/home/federico/galuppi-perez/data/corpus/xml/Ale22M-Di_rendermi-1749-Perez[2.12][1379].xml,Ale,Ale22M,Di_rendermi,2,12,212,1749,1740s,Davide Perez,Erissena,Male,1
76,0,/home/federico/galuppi-perez/data/corpus/xml/Ale22M-Di_rendermi-1755-Perez[2.15][0714].xml,Ale,Ale22M,Di_rendermi,2,15,215,1755,1750s,Davide Perez,Erissena,Male,1
77,0,/home/federico/galuppi-perez/data/corpus/xml/Ale24M-Se_troppo-1749-Perez[3.04][1380].xml,Ale,Ale24M,Se_troppo,3,04,304,1749,1740s,Davide Perez,Cleofide,Male,1
78,0,/home/federico/galuppi-perez/data/corpus/xml/Ale24M-Se_troppo-1755-Galuppi[3.04][0702].xml,Ale,Ale24M,Se_troppo,3,04,304,1755,1750s,Baldassare Galuppi,Cleofide,Male,1
79,0,/home/federico/galuppi-perez/data/corpus/xml/Ale24M-Se_troppo-1755-Perez[3.01][0715].xml,Ale,Ale24M,Se_troppo,3,01,301,1755,1750s,Davide Perez,Cleofide,Male,1
80,0,/home/federico/galuppi-perez/data/corpus/xml/Ale26M-Serbati_a-1749-Perez[3.06][1381].xml,Ale,Ale26M,Serbati_a,3,06,306,1749,1740s,Davide Perez,Alessandro,Male,1
81,0,/home/federico/galuppi-perez/data/corpus/xml/Ale26M-Serbati_a-1755-Galuppi[3.06][0703].xml,Ale,Ale26M,Serbati_a,3,06,306,1755,1750s,Baldassare Galuppi,Alessandro,Male,1
82,0,/home/federico/galuppi-perez/data/corpus/xml/Ale26M-Serbati_a-1755-Perez[3.04][0719].xml,Ale,Ale26M,Serbati_a,3,04,304,1755,1750s,Davide Perez,Alessandro,Male,1
83,0,/home/federico/galuppi-perez/data/corpus/xml/Ale27M-Finche_rimango-1738-Galuppi[3.07][1283].xml,Ale,Ale27M,Finche_rimango,3,07,307,1738,1730s,Baldassare Galuppi,Timagene,Male,1
84,0,/home/federico/galuppi-perez/data/corpus/xml/Ale27M-Finche_rimango-1755-Galuppi[3.07][0704].xml,Ale,Ale27M,Finche_rimango,3,07,307,1755,1750s,Baldassare Galuppi,Timagene,Male,1
85,0,/home/federico/galuppi-perez/data/corpus/xml/Ale27M-Finche_rimango-1755-Perez[3.05][0716].xml,Ale,Ale27M,Finche_rimango,3,05,305,1755,1750s,Davide Perez,Timagene,Male,1
86,0,/home/federico/galuppi-perez/data/corpus/xml/Ale28M-Dove_si-1738-Galuppi[3.09][1284].xml,Ale,Ale28M,Dove_si,3,09,309,1738,1730s,Baldassare Galuppi,Poro,Male,1
87,0,/home/federico/galuppi-perez/data/corpus/xml/Ale28M-Dove_si-1749-Perez[3.09][1382].xml,Ale,Ale28M,Dove_si,3,09,309,1749,1740s,Davide Perez,Poro,Male,1
88,0,/home/federico/galuppi-perez/data/corpus/xml/Ale28M-Dove_si-1752-Perez[3.08][1068].xml,Ale,Ale28M,Dove_si,3,08,308,1752,1750s,Davide Perez,Poro,Male,1
89,0,/home/federico/galuppi-perez/data/corpus/xml/Ale28M-Dove_si-1755-Galuppi[3.09][0705].xml,Ale,Ale28M,Dove_si,3,09,309,1755,1750s,Baldassare Galuppi,Poro,Male,1
