Id,Form,Character,Gender,RoleType,City,Territory
1266,Dal segno,Alessandro,Male,Tenore,Mantua,Italy
1267,Dal segno,Erissena,Male,Seconda donna,Mantua,Italy
1268,Dal segno,Timagene,Male,Parte ultima,Mantua,Italy
1269,Dal segno,Alessandro,Male,Tenore,Mannheim,Empire
1270,Da capo,Alessandro,Male,Tenore,Venice,Italy
1271,Da capo,Gandarte,Male,Secondo uomo,Venice,Italy
1272,Da capo,Cleofide,Male,Prima donna,Venice,Italy
1273,Da capo,Alessandro,Male,Tenore,Venice,Italy
1274,AA,Poro,Male,Primo soprano,Mantua,Italy
1275,Dal segno,Cleofide,Male,Prima donna,Mantua,Italy
1276,Dal segno,Poro,Male,Primo soprano,Mantua,Italy
1277,Da capo,Gandarte,Male,Secondo uomo,Mantua,Italy
1278,ABA,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Mantua,Italy
1279,Dal segno,Cleofide,Male,Prima donna,Mantua,Italy
1280,Dal segno,Poro,Male,Primo soprano,Mantua,Italy
1281,Dal segno,Timagene,Male,Parte ultima,Mantua,Italy
1282,Dal segno,Erissena,Male,Seconda donna,Mantua,Italy
1283,Dal segno,Timagene,Male,Parte ultima,Mantua,Italy
1284,Da capo,Poro,Male,Primo soprano,Mantua,Italy
1285,Dal segno,Erissena,Male,Seconda donna,Mantua,Italy
1286,ABA,Creusa,Male,Seconda donna,Forli,Italy
1287,ABA,Matusio,Male,Parte ultima,Forli,Italy
1288,ABA,Dircea,Male,Prima donna,Forli,Italy
1289,ABAB,Timante,Male,Primo soprano,Forli,Italy
1290,Dal segno,Timante,Male,Primo soprano,Copenhagen,Empire
1291,Da capo,Erissena,Male,Seconda donna,Brunswick,Empire
1292,A,Poro,Male,Primo soprano,Brunswick,Empire
1293,Da capo,Cleofide,Male,Prima donna,Brunswick,Empire
1294,Da capo,Erissena,Male,Seconda donna,Brunswick,Empire
1295,Da capo,Cleofide,Male,Prima donna,Brunswick,Empire
1296,Da capo,Erissena,Male,Seconda donna,Brunswick,Empire
1297,Da capo,Cleofide,Male,Prima donna,Brunswick,Empire
1298,A,Cleofide,Male,Prima donna,Brunswick,Empire
1299,AB,Erissena,Male,Seconda donna,Mannheim,Empire
1300,Dal segno,Timagene,Male,Parte ultima,Mannheim,Empire
1301,ABAB,Poro,Male,Primo soprano,Venice,Italy
1302,ABA,Cleofide,Male,Prima donna,Mannheim,Empire
1303,ABC,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Mannheim,Empire
1304,Dal segno,Poro,Male,Primo soprano,Mannheim,Empire
1305,ABA,Alessandro,Male,Tenore,Venice,Italy
1306,Dal segno,Erissena,Male,Seconda donna,Venice,Italy
1307,A,Poro,Male,Primo soprano,Venice,Italy
1308,ABA,Cleofide,Male,Prima donna,Venice,Italy
1309,AB,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Venice,Italy
1310,AA,Erissena,Male,Seconda donna,Venice,Italy
1311,Da capo,Gandarte,Male,Secondo uomo,Brunswick,Empire
1312,Dal segno,Poro,Male,Primo soprano,Brunswick,Empire
1313,Dal segno,Timagene,Male,Parte ultima,Brunswick,Empire
1314,Da capo,Gandarte,Male,Secondo uomo,Brunswick,Empire
1315,Dal segno,Poro,Male,Primo soprano,Mannheim,Empire
1316,Dal segno,Poro,Male,Primo soprano,Reggio Emilia,Italy
1317,A,Poro,Male,Primo soprano,Reggio Emilia,Italy
1318,ABA,Cleofide,Male,Prima donna,Mannheim,Empire
1319,AA,Cleofide,Male,Prima donna,Mannheim,Empire
1320,ABA,Gandarte,Male,Secondo uomo,Mannheim,Empire
1321,ABA,Poro,Male,Primo soprano,Venice,Italy
1322,AA,Cleofide,Male,Prima donna,Venice,Italy
1323,Dal segno,Poro,Male,Primo soprano,Venice,Italy
1324,ABA,Alessandro,Male,Tenore,Venice,Italy
1325,AA,Alessandro,Male,Tenore,Venice,Italy
1326,ABA,Poro,Male,Primo soprano,Venice,Italy
1327,Dal segno,Alessandro,Male,Tenore,Reggio Emilia,Italy
1328,Dal segno,Timagene,Male,Parte ultima,Reggio Emilia,Italy
1329,Dal segno,Poro,Male,Primo soprano,Reggio Emilia,Italy
1330,Dal segno,Cherinto,Male,Secondo uomo,,
1331,Dal segno,Alessandro,Male,Tenore,Brunswick,Empire
1332,Da capo,Poro,Male,Primo soprano,Brunswick,Empire
1333,Da capo,Alessandro,Male,Tenore,Brunswick,Empire
1334,Da capo,Alessandro,Male,Tenore,Brunswick,Empire
1335,Da capo,Poro,Male,Primo soprano,Brunswick,Empire
1336,Da capo,Gandarte,Male,Secondo uomo,Brunswick,Empire
1337,Da capo,Erissena,Male,Seconda donna,Brunswick,Empire
1338,AB,Cleofide,Male,Prima donna,Venice,Italy
1339,AA,Poro,Male,Primo soprano,Reggio Emilia,Italy
1340,ABA,Erissena,Male,Seconda donna,Reggio Emilia,Italy
1341,Dal segno,Gandarte,Male,Secondo uomo,Naples,Italy
1342,Dal segno,Poro,Male,Primo soprano,Naples,Italy
1343,Dal segno,Alessandro,Male,Tenore,Naples,Italy
1344,Dal segno,Erissena,Male,Seconda donna,Naples,Italy
1345,Dal segno,Poro,Male,Primo soprano,Reggio Emilia,Italy
1346,Dal segno,Erissena,Male,Seconda donna,Reggio Emilia,Italy
1347,Da capo,Timagene,Male,Parte ultima,Brunswick,Empire
1348,Dal segno,Erissena,Male,Seconda donna,Mannheim,Empire
1349,Dal segno,Timagene,Male,Parte ultima,Naples,Italy
1350,A,Poro,Male,Primo soprano,Naples,Italy
1351,Dal segno,Poro,Male,Primo soprano,Naples,Italy
1352,Da capo,Cleofide,Male,Prima donna,Reggio Emilia,Italy
1353,Dal segno,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Reggio Emilia,Italy
1354,Dal segno,Alessandro,Male,Tenore,Reggio Emilia,Italy
1355,Dal segno,Timagene,Male,Parte ultima,Reggio Emilia,Italy
1356,Da capo,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Brunswick,Empire
1357,Dal segno,Poro,Male,Primo soprano,London,England
1358,ABA,Alessandro,Male,Tenore,Reggio Emilia,Italy
1359,Dal segno,Erissena,Male,Seconda donna,London,England
1360,ABA,Iarba,Male,Tenore,Venice,Italy
1361,Da capo,Araspe,Male,Secondo uomo,Venice,Italy
1362,Da capo,Iarba,Male,Tenore,Venice,Italy
1363,Da capo,Selene,Male,Seconda donna,Venice,Italy
1364,Da capo,Iarba,Male,Tenore,Venice,Italy
1365,Da capo,Selene,Male,Seconda donna,Venice,Italy
1366,Da capo,Araspe,Male,Secondo uomo,Venice,Italy
1367,AA,Didone,Male,Prima donna,Venice,Italy
1368,Da capo,Cleofide,Male,Prima donna,Naples,Italy
1369,Da capo,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Naples,Italy
1370,Dal segno,Gandarte,Male,Secondo uomo,Naples,Italy
1371,Dal segno,Cleofide,Male,Prima donna,Naples,Italy
1372,Da capo,Alessandro,Male,Tenore,Naples,Italy
1373,Dal segno,Cleofide,Male,Prima donna,Naples,Italy
1374,Da capo,Poro,Male,Primo soprano,Naples,Italy
1375,Dal segno,Timagene,Male,Parte ultima,Naples,Italy
1376,Dal segno,Alessandro,Male,Tenore,Naples,Italy
1377,Dal segno,Cleofide,Male,Prima donna,Naples,Italy
1378,Dal segno,Gandarte,Male,Secondo uomo,Naples,Italy
1379,Dal segno,Erissena,Male,Seconda donna,Naples,Italy
1380,Da capo,Cleofide,Male,Prima donna,Naples,Italy
1381,Da capo,Alessandro,Male,Tenore,Naples,Italy
1382,Dal segno,Poro,Male,Primo soprano,Naples,Italy
1383,Dal segno,Gandarte,Male,Secondo uomo,Naples,Italy
1384,Dal segno,Erissena,Male,Seconda donna,Naples,Italy
1385,AA,Cleofide,Male,Prima donna,Naples,Italy
1386,Da capo,Gandarte,Male,Secondo uomo,Milan,Italy
1387,Da capo,Alessandro,Male,Tenore,Milan,Italy
1388,Da capo,Erissena,Male,Seconda donna,Milan,Italy
1389,Da capo,Timagene,Male,Parte ultima,Milan,Italy
1390,AA,Poro,Male,Primo soprano,Milan,Italy
1391,Da capo,Erissena,Male,Seconda donna,Milan,Italy
1392,Da capo,Timagene,Male,Parte ultima,Munich,Empire
1393,Dal segno,Erissena,Male,Seconda donna,Genoa,Italy
1394,AA,Timagene,Male,Parte ultima,Genoa,Italy
1395,AA,Poro,Male,Primo soprano,Genoa,Italy
1396,Dal segno,Erissena,Male,Seconda donna,London,England
1397,Dal segno,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Genoa,Italy
1398,Dal segno,Gandarte,Male,Secondo uomo,Genoa,Italy
1399,AA,Alessandro,Male,Tenore,Genoa,Italy
1400,Dal segno,Cleofide,Male,Prima donna,Genoa,Italy
1401,Dal segno,Alessandro,Male,Tenore,Genoa,Italy
1402,Da capo,Osmida,Male,Parte ultima,Venice,Italy
1403,Da capo,Enea,Male,Primo soprano,Venice,Italy
1404,Dal segno,Timante,Male,Primo soprano,Copenhagen,Empire
1405,ABB,"Dircea,Timante",Male&Male,"Prima donna,Primo soprano",Forli,Italy
1406,Dal segno,Cleofide,Male,Prima donna,Genoa,Italy
1407,Da capo,Poro,Male,Primo soprano,Milan,Italy
1408,Da capo,Cleofide,Male,Prima donna,Milan,Italy
1409,Dal segno,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Milan,Italy
1410,Da capo,Erissena,Male,Seconda donna,Milan,Italy
1411,Da capo,Poro,Male,Primo soprano,Milan,Italy
1412,Da capo,Gandarte,Male,Secondo uomo,Milan,Italy
1413,Da capo,Cleofide,Male,Prima donna,Milan,Italy
1414,ABA,Timagene,Male,Parte ultima,Milan,Italy
1415,Dal segno,Cleofide,Male,Prima donna,Mannheim,Empire
1416,ABA,Alessandro,Male,Tenore,Mannheim,Empire
1417,ABA,Timagene,Male,Parte ultima,Mannheim,Empire
1418,Dal segno,Erissena,Male,Seconda donna,Mannheim,Empire
1419,Dal segno,Poro,Male,Primo soprano,Ancona,Italy
1420,Da capo,Alessandro,Male,Tenore,Ancona,Italy
1421,Dal segno,Alessandro,Male,Tenore,Ancona,Italy
1422,Dal segno,Cleofide,Male,Prima donna,Ancona,Italy
1423,Dal segno,Poro,Male,Primo soprano,Ancona,Italy
1424,Dal segno,Cleofide,Male,Prima donna,Ancona,Italy
1425,Da capo,Alessandro,Male,Tenore,Milan,Italy
1426,Da capo,Gandarte,Male,Secondo uomo,Milan,Italy
1427,Dal segno,Poro,Male,Primo soprano,Munich,Empire
1428,Dal segno,Alessandro,Male,Tenore,Munich,Empire
1429,Da capo,Poro,Male,Primo soprano,Munich,Empire
1430,AB,Gandarte,Male,Secondo uomo,Mannheim,Empire
1431,Da capo,Poro,Male,Primo soprano,Padua,Italy
1432,Dal segno,Alessandro,Male,Tenore,Padua,Italy
1433,ABA,Erissena,Male,Seconda donna,Padua,Italy
1434,A,Poro,Male,Primo soprano,Padua,Italy
1435,Dal segno,Cleofide,Male,Prima donna,Padua,Italy
1436,ABAB,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Padua,Italy
1437,Dal segno,Gandarte,Male,Secondo uomo,Padua,Italy
1438,Dal segno,Erissena,Male,Seconda donna,Padua,Italy
1439,Dal segno,Poro,Male,Primo soprano,Padua,Italy
1440,Dal segno,Cleofide,Male,Prima donna,Padua,Italy
1441,Dal segno,Poro,Male,Primo soprano,Padua,Italy
1442,Dal segno,Alessandro,Male,Tenore,Padua,Italy
1443,AA,Enea,Male,Primo soprano,Brunswick,Empire
1444,Da capo,Selene,Male,Seconda donna,Brunswick,Empire
1445,Da capo,Enea,Male,Primo soprano,Brunswick,Empire
1446,Da capo,Enea,Male,Primo soprano,Brunswick,Empire
1447,Da capo,Enea,Male,Primo soprano,Brunswick,Empire
1448,Da capo,Enea,Male,Primo soprano,Brunswick,Empire
1449,Da capo,Enea,Male,Primo soprano,Brunswick,Empire
1450,ABA,Cleofide,Male,Prima donna,Padua,Italy
1451,Dal segno,Erissena,Male,Seconda donna,Milan,Italy
1452,ABAB,"Dircea,Timante,Demofoonte",Male&Male&Male,"Prima donna,Primo soprano,Tenore",Copenhagen,Empire
1453,ABA,Poro,Male,Primo soprano,Padua,Italy
1454,AB,Alessandro,Male,Tenore,Padua,Italy
1455,ABA,Timagene,Male,Parte ultima,Padua,Italy
1456,ABA,Poro,Male,Primo soprano,Padua,Italy
1457,Dal segno,Poro,Male,Primo soprano,London,England
1458,Dal segno,Cleofide,Male,Prima donna,Milan,Italy
1459,Dal segno,Alessandro,Male,Tenore,Milan,Italy
1460,ABA,Poro,Male,Primo soprano,Milan,Italy
1461,Da capo,Selene,Male,Seconda donna,Brunswick,Empire
1462,Dal segno,Selene,Male,Seconda donna,Brunswick,Empire
1463,Dal segno,Selene,Male,Seconda donna,Brunswick,Empire
1464,Da capo,Alessandro,Male,Tenore,Mannheim,Empire
1465,Da capo,Gandarte,Male,Secondo uomo,Milan,Italy
1466,Da capo,Iarba,Male,Tenore,Brunswick,Empire
1467,Da capo,Selene,Male,Seconda donna,Brunswick,Empire
1468,Da capo,Iarba,Male,Tenore,Brunswick,Empire
1469,Da capo,Osmida,Male,Parte ultima,Brunswick,Empire
1470,Da capo,Araspe,Male,Secondo uomo,Brunswick,Empire
1471,Da capo,Osmida,Male,Parte ultima,Brunswick,Empire
1472,Da capo,Iarba,Male,Tenore,Brunswick,Empire
1473,Da capo,Araspe,Male,Secondo uomo,Brunswick,Empire
1474,Da capo,Didone,Male,Prima donna,Brunswick,Empire
1475,Da capo,Didone,Male,Prima donna,Brunswick,Empire
1476,Da capo,Araspe,Male,Secondo uomo,Brunswick,Empire
1477,ABA,Didone,Male,Prima donna,Brunswick,Empire
1478,Da capo,Didone,Male,Prima donna,Brunswick,Empire
1479,Dal segno,Poro,Male,Primo soprano,Rome,Italy
1480,Dal segno,Poro,Male,Primo soprano,Rome,Italy
1481,Dal segno,Alessandro,Male,Tenore,Rome,Italy
1482,Da capo,Timagene,Male,Parte ultima,Rome,Italy
1483,Dal segno,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Rome,Italy
1484,Da capo,Gandarte,Male,Secondo uomo,Rome,Italy
1485,Dal segno,Alessandro,Male,Tenore,Rome,Italy
1486,A,Poro,Male,Primo soprano,Rome,Italy
1487,Da capo,Cleofide,Male,Prima donna,Rome,Italy
1488,Dal segno,Cleofide,Male,Prima donna,Rome,Italy
1489,Da capo,Cleofide,Male,Prima donna,Rome,Italy
1490,Dal segno,Erissena,Male,Seconda donna,Rome,Italy
1491,Dal segno,Gandarte,Male,Secondo uomo,Rome,Italy
1492,Da capo,Erissena,Male,Seconda donna,Rome,Italy
1493,Dal segno,Poro,Male,Primo soprano,Rome,Italy
1494,Dal segno,Erissena,Male,Seconda donna,Rome,Italy
1495,Da capo,Alessandro,Male,Tenore,Rome,Italy
1496,Da capo,Dircea,Male,Prima donna,,
1497,Da capo,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Bologna,Italy
1498,ABA,Matusio,Male,Parte ultima,Turin,Italy
1499,ABA,Demofoonte,Male,Tenore,Turin,Italy
1500,Dal segno,Dircea,Male,Prima donna,Turin,Italy
1501,ABA,Timante,Male,Primo soprano,Turin,Italy
1502,ABA,Creusa,Male,Seconda donna,Turin,Italy
1503,ABA,Creusa,Male,Seconda donna,Turin,Italy
1504,ABC,"Dircea,Timante",Male&Male,"Prima donna,Primo soprano",Turin,Italy
1505,ABA,Timante,Male,Primo soprano,Turin,Italy
1506,ABA,Cherinto,Male,Secondo uomo,Turin,Italy
1507,AA,Enea,Male,Primo soprano,Rome,Italy
1508,ABA,Selene,Male,Seconda donna,Rome,Italy
1509,ABC,Timante,Male,Primo soprano,Turin,Italy
1510,Dal segno,Cherinto,Male,Secondo uomo,Turin,Italy
1511,Dal segno,Iarba,Male,Tenore,Rome,Italy
1512,ABAB,Enea,Male,Primo soprano,Rome,Italy
1513,Dal segno,Araspe,Male,Secondo uomo,Rome,Italy
1514,AA,Selene,Male,Seconda donna,Rome,Italy
1515,A,Didone,Male,Prima donna,Rome,Italy
1516,ABC,Dircea,Male,Prima donna,Turin,Italy
1517,ABA,Iarba,Male,Tenore,Rome,Italy
1518,AA,Iarba,Male,Tenore,Rome,Italy
1519,Dal segno,Araspe,Male,Secondo uomo,Rome,Italy
1520,ABA,Selene,Male,Seconda donna,Rome,Italy
1521,Dal segno,Iarba,Male,Tenore,Rome,Italy
1522,Dal segno,Selene,Male,Seconda donna,Naples,Italy
1523,Dal segno,Osmida,Male,Parte ultima,Naples,Italy
1524,Dal segno,Iarba,Male,Tenore,Naples,Italy
1525,Da capo,Araspe,Male,Secondo uomo,Naples,Italy
1526,Da capo,Didone,Male,Prima donna,Naples,Italy
1527,Da capo,Iarba,Male,Tenore,Naples,Italy
1528,Da capo,Iarba,Male,Tenore,Naples,Italy
1529,Dal segno,Iarba,Male,Tenore,Naples,Italy
1530,Da capo,Selene,Male,Seconda donna,Naples,Italy
1531,Da capo,Osmida,Male,Parte ultima,Naples,Italy
1532,Da capo,Enea,Male,Primo soprano,Naples,Italy
1533,A,Didone,Male,Prima donna,Naples,Italy
1534,Da capo,Iarba,Male,Tenore,Naples,Italy
1535,Da capo,Selene,Male,Seconda donna,Naples,Italy
1536,Da capo,Selene,Male,Seconda donna,Venice,Italy
1537,Da capo,Enea,Male,Primo soprano,Venice,Italy
1538,Da capo,Didone,Male,Prima donna,Venice,Italy
1539,A,Didone,Male,Prima donna,Venice,Italy
1540,Da capo,Didone,Male,Prima donna,Venice,Italy
1541,Da capo,Araspe,Male,Secondo uomo,Venice,Italy
1542,Da capo,Selene,Male,Seconda donna,Venice,Italy
1543,Da capo,Didone,Male,Prima donna,Venice,Italy
1544,Da capo,Enea,Male,Primo soprano,Venice,Italy
1545,Da capo,Araspe,Male,Secondo uomo,Venice,Italy
1546,Da capo,Selene,Male,Seconda donna,Venice,Italy
1547,Da capo,Creusa,Male,Seconda donna,Rome,Italy
1548,Da capo,Matusio,Male,Parte ultima,Rome,Italy
1549,Da capo,Iarba,Male,Tenore,Venice,Italy
1550,Dal segno,Dircea,Male,Prima donna,Rome,Italy
1551,Da capo,Dircea,Male,Prima donna,Rome,Italy
1552,Da capo,Timante,Male,Primo soprano,Rome,Italy
1553,Da capo,Demofoonte,Male,Tenore,Rome,Italy
1554,Dal segno,Timante,Male,Primo soprano,Rome,Italy
1555,Dal segno,Demofoonte,Male,Tenore,Rome,Italy
1556,Dal segno,Dircea,Male,Prima donna,Rome,Italy
1557,Dal segno,Matusio,Male,Parte ultima,Rome,Italy
1558,Dal segno,Dircea,Male,Prima donna,Rome,Italy
1559,Dal segno,Demofoonte,Male,Tenore,Rome,Italy
1560,Dal segno,Creusa,Male,Seconda donna,Rome,Italy
1561,ABA,Dircea,Male,Prima donna,Rome,Italy
1562,ABA,Timante,Male,Primo soprano,Rome,Italy
1563,Dal segno,Dircea,Male,Prima donna,Rome,Italy
1564,Dal segno,Adrasto,Male,Settima parte,Rome,Italy
1565,ABA,Cherinto,Male,Secondo uomo,Rome,Italy
1566,ABA,Demofoonte,Male,Tenore,Rome,Italy
1567,ABAB,"Dircea,Timante",Male&Male,"Prima donna,Primo soprano",Rome,Italy
1568,ABAB,Timante,Male,Primo soprano,Rome,Italy
1569,ABA,Demofoonte,Male,Tenore,Rome,Italy
1570,Da capo,Iarba,Male,Tenore,Venice,Italy
1571,Dal segno,Poro,Male,Primo soprano,Stuttgart,Empire
1572,Dal segno,Erissena,Male,Seconda donna,Stuttgart,Empire
1573,Da capo,Didone,Male,Prima donna,Venice,Italy
1574,Da capo,Osmida,Male,Parte ultima,Venice,Italy
1575,A,Poro,Male,Primo soprano,Stuttgart,Empire
1576,Dal segno,Alessandro,Male,Tenore,Stuttgart,Empire
1577,Da capo,Selene,Male,Seconda donna,Venice,Italy
1578,Dal segno,Timagene,Male,Parte ultima,Stuttgart,Empire
1579,Dal segno,Cleofide,Male,Prima donna,Stuttgart,Empire
1580,Dal segno,Gandarte,Male,Secondo uomo,Stuttgart,Empire
1581,Dal segno,Poro,Male,Primo soprano,Stuttgart,Empire
1582,Da capo,Enea,Male,Primo soprano,Venice,Italy
1583,Dal segno,Iarba,Male,Tenore,Venice,Italy
1584,Dal segno,Matusio,Male,Parte ultima,Treviso,Italy
1585,Dal segno,Dircea,Male,Prima donna,Treviso,Italy
1586,Dal segno,Enea,Male,Primo soprano,Venice,Italy
1587,Dal segno,Timante,Male,Primo soprano,Treviso,Italy
1588,Dal segno,Araspe,Male,Secondo uomo,Venice,Italy
1589,AA,Cherinto,Male,Secondo uomo,Treviso,Italy
1590,Dal segno,Creusa,Male,Seconda donna,Treviso,Italy
1591,Dal segno,Creusa,Male,Seconda donna,Treviso,Italy
1592,ABA,Adrasto,Male,Settima parte,Treviso,Italy
1593,ABA,Matusio,Male,Parte ultima,Treviso,Italy
1594,Dal segno,Dircea,Male,Prima donna,Treviso,Italy
1595,ABA,Demofoonte,Male,Tenore,Treviso,Italy
1596,Dal segno,Timante,Male,Primo soprano,Treviso,Italy
1597,ABA,Dircea,Male,Prima donna,Treviso,Italy
1598,Dal segno,Demofoonte,Male,Tenore,Treviso,Italy
1599,Dal segno,Dircea,Male,Prima donna,Treviso,Italy
1600,Dal segno,Timante,Male,Primo soprano,Treviso,Italy
1601,ABA,Cherinto,Male,Secondo uomo,Treviso,Italy
1602,ABA,Timante,Male,Primo soprano,Treviso,Italy
1603,Dal segno,Cherinto,Male,Secondo uomo,Treviso,Italy
1604,Dal segno,"Dircea,Timante",Male&Male,"Prima donna,Primo soprano",Treviso,Italy
1605,ABA,Demofoonte,Male,Tenore,Treviso,Italy
1606,Dal segno,Demofoonte,Male,Tenore,Rome,Italy
1607,Dal segno,"Dircea,Timante",Male&Male,"Prima donna,Primo soprano",Rome,Italy
1608,Dal segno,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Stuttgart,Empire
1609,Dal segno,Alessandro,Male,Tenore,Stuttgart,Empire
1610,Dal segno,Cleofide,Male,Prima donna,Stuttgart,Empire
1611,Dal segno,Poro,Male,Primo soprano,Stuttgart,Empire
1612,Dal segno,Gandarte,Male,Secondo uomo,Stuttgart,Empire
1613,AA,Cleofide,Male,Prima donna,Stuttgart,Empire
1614,A,Enea,Male,Primo soprano,Milan,Italy
1615,ABA,Selene,Male,Seconda donna,Milan,Italy
1616,ABA,Erissena,Male,Seconda donna,Stuttgart,Empire
1617,Dal segno,Didone,Male,Prima donna,Milan,Italy
1618,Dal segno,Araspe,Male,Secondo uomo,Milan,Italy
1619,AA,Iarba,Male,Tenore,Milan,Italy
1620,ABA,Araspe,Male,Secondo uomo,Milan,Italy
1621,Dal segno,Didone,Male,Prima donna,Milan,Italy
1622,Dal segno,Iarba,Male,Tenore,Milan,Italy
1623,Dal segno,Iarba,Male,Tenore,Milan,Italy
1624,Dal segno,Selene,Male,Seconda donna,Milan,Italy
1625,A,Enea,Male,Primo soprano,Naples,Italy
1626,ABA,Araspe,Male,Secondo uomo,Naples,Italy
1627,ABA,Enea,Male,Primo soprano,Naples,Italy
1628,ABA,Selene,Male,Seconda donna,Naples,Italy
1629,ABA,Araspe,Male,Secondo uomo,Naples,Italy
1630,A,Didone,Male,Prima donna,Naples,Italy
1631,A,Didone,Male,Prima donna,Naples,Italy
1632,ABA,Iarba,Male,Tenore,Naples,Italy
1633,ABA,Selene,Male,Seconda donna,Naples,Italy
1634,A,Enea,Male,Primo soprano,Vicenza,Italy
1635,Dal segno,Selene,Male,Seconda donna,Vicenza,Italy
1636,A,Osmida,Male,Parte ultima,Vicenza,Italy
1637,ABA,Didone,Male,Prima donna,Vicenza,Italy
1638,ABA,Araspe,Male,Secondo uomo,Vicenza,Italy
1639,ABA,Iarba,Male,Tenore,Vicenza,Italy
1640,A,Iarba,Male,Tenore,Vicenza,Italy
1641,ABA,Osmida,Male,Parte ultima,Vicenza,Italy
1642,ABA,Selene,Male,Seconda donna,Vicenza,Italy
1643,ABA,Enea,Male,Primo soprano,Vicenza,Italy
1644,ABAC,Didone,Male,Prima donna,Vicenza,Italy
1645,A,Didone,Male,Prima donna,Vicenza,Italy
1646,A,Didone,Male,Prima donna,Vicenza,Italy
1647,ABB,Iarba,Male,Tenore,Vicenza,Italy
1648,ABA,Iarba,Male,Tenore,Vicenza,Italy
1649,Da capo,Cherinto,Male,Secondo uomo,,
1650,Da capo,Didone,Male,Prima donna,Venice,Italy
1651,Da capo,Cherinto,Male,Secondo uomo,,
1652,Da capo,Poro,Male,Primo soprano,Stuttgart,Empire
1653,Dal segno,Demofoonte,Male,Tenore,Berlin,Empire
1654,Dal segno,Matusio,Male,Parte ultima,Berlin,Empire
1655,Da capo,Cherinto,Male,Secondo uomo,Berlin,Empire
1656,Dal segno,Creusa,Male,Seconda donna,Berlin,Empire
1657,Dal segno,Dircea,Male,Prima donna,Berlin,Empire
1658,Dal segno,Timante,Male,Primo soprano,Berlin,Empire
1659,Da capo,Creusa,Male,Seconda donna,Berlin,Empire
1660,Da capo,Timante,Male,Primo soprano,Berlin,Empire
1661,Dal segno,Cherinto,Male,Secondo uomo,Berlin,Empire
1662,Da capo,Dircea,Male,Prima donna,Berlin,Empire
1663,Da capo,Creusa,Male,Seconda donna,Berlin,Empire
1664,Dal segno,Dircea,Male,Prima donna,Berlin,Empire
1665,Dal segno,Creusa,Male,Seconda donna,Berlin,Empire
1666,Dal segno,Demofoonte,Male,Tenore,Berlin,Empire
1667,Dal segno,Cherinto,Male,Secondo uomo,Berlin,Empire
1668,Da capo,Adrasto,Male,Settima parte,Berlin,Empire
1669,Dal segno,Dircea,Male,Prima donna,Berlin,Empire
1670,AA,Enea,Male,Primo soprano,London,England
1671,Da capo,"Dircea,Timante",Male&Male,"Prima donna,Primo soprano",Berlin,Empire
1672,Dal segno,Cherinto,Male,Secondo uomo,Berlin,Empire
1673,Dal segno,Dircea,Male,Prima donna,,
1674,Da capo,Dircea,Male,Prima donna,Ferrara,Italy
1675,ABA,Dircea,Male,Prima donna,Turin,Italy
1676,ABA,Matusio,Male,Parte ultima,Rome,Italy
1677,ABA,Dircea,Male,Prima donna,Rome,Italy
1678,ABA,Creusa,Male,Seconda donna,Rome,Italy
1679,ABA,Dircea,Male,Prima donna,Rome,Italy
1680,ABA,Timante,Male,Primo soprano,Rome,Italy
1681,ABA,Creusa,Male,Seconda donna,Rome,Italy
1682,ABA,Adrasto,Male,Settima parte,Rome,Italy
1683,ABA,Demofoonte,Male,Tenore,Rome,Italy
1684,ABA,Demofoonte,Male,Tenore,Rome,Italy
1685,ABA,Cherinto,Male,Secondo uomo,Rome,Italy
1686,ABA,Creusa,Male,Seconda donna,Rome,Italy
1687,Dal segno,Dircea,Male,Prima donna,Rome,Italy
1688,ABA,Timante,Male,Primo soprano,Rome,Italy
1689,ABA,Matusio,Male,Parte ultima,Padua,Italy
1690,AB,"Dircea,Timante",Male&Male,"Prima donna,Primo soprano",Rome,Italy
1691,ABA,Creusa,Male,Seconda donna,Padua,Italy
1692,ABA,Timante,Male,Primo soprano,Padua,Italy
1693,ABA,Cherinto,Male,Secondo uomo,Padua,Italy
1694,AB,Dircea,Male,Prima donna,Padua,Italy
1695,ABA,Demofoonte,Male,Tenore,Padua,Italy
1696,ABCB,Timante,Male,Primo soprano,Padua,Italy
1697,AB,"Dircea,Timante",Male&Male,"Prima donna,Primo soprano",Padua,Italy
1698,ABA,Dircea,Male,Prima donna,Padua,Italy
1699,A,Enea,Male,Primo soprano,Venice,Italy
1700,Dal segno,Selene,Male,Seconda donna,Venice,Italy
1701,Dal segno,Iarba,Male,Tenore,Venice,Italy
1702,Da capo,Enea,Male,Primo soprano,Venice,Italy
