Id,Form,Character,Gender,RoleType,City,Territory
0974,Dal segno,Poro,Male,Primo soprano,London,England
0975,Dal segno,Cleofide,Male,Prima donna,London,England
0976,Dal segno,Erissena,Male,Seconda donna,London,England
0977,Da capo,Alessandro,Male,Tenore,London,England
0978,Da capo,Poro,Male,Primo soprano,London,England
0979,Dal segno,Gandarte,Male,Secondo uomo,London,England
0980,Da capo,Erissena,Male,Seconda donna,London,England
0981,Da capo,"Dircea,Timante",Male&Male,"Prima donna,Primo soprano",Padua,Italy
0982,ABA,Poro,Male,Primo soprano,Siena,Italy
0983,ABA,Alessandro,Male,Tenore,Siena,Italy
0984,ABA,Erissena,Male,Seconda donna,Siena,Italy
0985,A,Poro,Male,Primo soprano,Siena,Italy
0986,ABA,Cleofide,Male,Prima donna,Siena,Italy
0987,Dal segno,Gandarte,Male,Secondo uomo,Siena,Italy
0988,ABC,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Siena,Italy
0989,ABA,Erissena,Male,Seconda donna,Siena,Italy
0990,Dal segno,Poro,Male,Primo soprano,Siena,Italy
0991,AA,Gandarte,Male,Secondo uomo,Siena,Italy
0992,ABA,Cleofide,Male,Prima donna,Siena,Italy
0993,A,Timagene,Male,Parte ultima,Siena,Italy
0994,ABA,Poro,Male,Primo soprano,Siena,Italy
0995,ABAB,Alessandro,Male,Tenore,Siena,Italy
0996,ABA,Cleofide,Male,Prima donna,Siena,Italy
0997,Dal segno,Alessandro,Male,Tenore,Siena,Italy
0998,ABA,Poro,Male,Primo soprano,Siena,Italy
0999,Dal segno,Gandarte,Male,Secondo uomo,Berlin,Empire
1000,Dal segno,Poro,Male,Primo soprano,Berlin,Empire
1001,Dal segno,Alessandro,Male,Tenore,Berlin,Empire
1002,A,Poro,Male,Primo soprano,Berlin,Empire
1003,Da capo,Cleofide,Male,Prima donna,Berlin,Empire
1004,Dal segno,Erissena,Male,Seconda donna,Berlin,Empire
1005,Dal segno,Alessandro,Male,Tenore,Berlin,Empire
1006,AB,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Berlin,Empire
1007,Da capo,Gandarte,Male,Secondo uomo,Berlin,Empire
1008,Dal segno,Erissena,Male,Seconda donna,Berlin,Empire
1009,Dal segno,Poro,Male,Primo soprano,Berlin,Empire
1010,Dal segno,Alessandro,Male,Tenore,Berlin,Empire
1011,Dal segno,Cleofide,Male,Prima donna,Berlin,Empire
1012,Dal segno,Poro,Male,Primo soprano,Berlin,Empire
1013,Dal segno,Timagene,Male,Parte ultima,Berlin,Empire
1014,Dal segno,Cleofide,Male,Prima donna,Berlin,Empire
1015,Dal segno,Cleofide,Male,Prima donna,Berlin,Empire
1016,Dal segno,Alessandro,Male,Tenore,Berlin,Empire
1017,Dal segno,Poro,Male,Primo soprano,Berlin,Empire
1018,AB,Poro,Male,Primo soprano,Livorno,Italy
1019,ABA,Alessandro,Male,Tenore,Livorno,Italy
1020,AA,Erissena,Male,Seconda donna,Livorno,Italy
1021,A,Poro,Male,Primo soprano,Livorno,Italy
1022,ABA,Cleofide,Male,Prima donna,Livorno,Italy
1023,AAA,Gandarte,Male,Secondo uomo,Livorno,Italy
1024,ABAB,"Cleofide,Alessandro",Male&Male,"Proma donna,Tenore",Livorno,Italy
1025,ABA,Alessandro,Male,Tenore,Livorno,Italy
1026,AB,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Livorno,Italy
1027,ABA,Erissena,Male,Seconda donna,Livorno,Italy
1028,ABC,"Cleofide,Poro,Alessandro",Male&Male&Male,"Prima donna,Primo soprano,Tenore",Livorno,Italy
1029,AB,Timagene,Male,Parte ultima,Livorno,Italy
1030,AB,Alessandro,Male,Tenore,Livorno,Italy
1031,ABA,Cleofide,Male,Prima donna,Livorno,Italy
1032,AA,Gandarte,Male,Secondo uomo,Livorno,Italy
1033,AB,"Cleofide,Poro,Alessandro",Male&Male&Male,"Prima donna,Primo soprano,Tenore",Livorno,Italy
1034,Da capo,Gandarte,Male,Secondo uomo,Naples,Italy
1035,Dal segno,Poro,Male,Primo soprano,Naples,Italy
1036,Dal segno,Alessandro,Male,Tenore,Naples,Italy
1037,Da capo,Erissena,Male,Seconda donna,Naples,Italy
1038,Dal segno,Cleofide,Male,Prima donna,Naples,Italy
1039,A,Poro,Male,Primo soprano,Naples,Italy
1040,Da capo,Cleofide,Male,Prima donna,Naples,Italy
1041,Dal segno,Poro,Male,Primo soprano,Naples,Italy
1042,Dal segno,Gandarte,Male,Secondo uomo,Naples,Italy
1043,Dal segno,Gandarte,Male,Secondo uomo,Naples,Italy
1044,Da capo,Alessandro,Male,Tenore,Naples,Italy
1045,Dal segno,Matusio,Male,Parte ultima,Milan,Italy
1046,Da capo,Erissena,Male,Seconda donna,Naples,Italy
1047,Da capo,Dircea,Male,Prima donna,Milan,Italy
1048,Da capo,Alessandro,Male,Tenore,Naples,Italy
1049,ABA,Cleofide,Male,Prima donna,Naples,Italy
1050,Dal segno,Poro,Male,Primo soprano,Naples,Italy
1051,Dal segno,Timagene,Male,Parte ultima,Naples,Italy
1052,Da capo,Alessandro,Male,Tenore,Naples,Italy
1053,Dal segno,Gandarte,Male,Secondo uomo,Milan,Italy
1054,Dal segno,Poro,Male,Primo soprano,Milan,Italy
1055,Dal segno,Alessandro,Male,Tenore,Milan,Italy
1056,Dal segno,Erissena,Male,Seconda donna,Milan,Italy
1057,Dal segno,Timagene,Male,Parte ultima,Milan,Italy
1058,A,Poro,Male,Primo soprano,Milan,Italy
1059,Dal segno,Cleofide,Male,Prima donna,Milan,Italy
1060,Dal segno,Poro,Male,Primo soprano,Milan,Italy
1061,Dal segno,Poro,Male,Primo soprano,Milan,Italy
1062,Dal segno,Erissena,Male,Seconda donna,Milan,Italy
1063,Dal segno,Gandarte,Male,Secondo uomo,Milan,Italy
1064,Dal segno,Alessandro,Male,Tenore,Milan,Italy
1065,Dal segno,Cleofide,Male,Prima donna,Milan,Italy
1066,Dal segno,Alessandro,Male,Tenore,Milan,Italy
1067,Dal segno,Timagene,Male,Parte ultima,Milan,Italy
1068,Dal segno,Poro,Male,Primo soprano,Milan,Italy
1069,Dal segno,Gandarte,Male,Secondo uomo,Milan,Italy
1070,Dal segno,Erissena,Male,Seconda donna,Milan,Italy
1071,A,Cleofide,Male,Prima donna,Milan,Italy
1072,ABA,Poro,Male,Primo soprano,Venice,Italy
1073,ABA,Alessandro,Male,Tenore,Venice,Italy
1074,Dal segno,Erissena,Male,Seconda donna,Venice,Italy
1075,A,Poro,Male,Primo soprano,Venice,Italy
1076,ABA,Cleofide,Male,Prima donna,Venice,Italy
1077,ABA,Gandarte,Male,Secondo uomo,Venice,Italy
1078,ABCD,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Venice,Italy
1079,ABA,Erissena,Male,Seconda donna,Venice,Italy
1080,ABA,Poro,Male,Primo soprano,Venice,Italy
1081,ABA,Poro,Male,Primo soprano,Venice,Italy
1082,ABA,Timagene,Male,Parte ultima,Venice,Italy
1083,ABABA,Cleofide,Male,Prima donna,Venice,Italy
1084,Dal segno,Gandarte,Male,Secondo uomo,Berlin,Empire
1085,Dal segno,Alessandro,Male,Tenore,Berlin,Empire
1086,Dal segno,Erissena,Male,Seconda donna,Berlin,Empire
1087,Dal segno,Alessandro,Male,Tenore,Berlin,Empire
1088,Dal segno,Gandarte,Male,Secondo uomo,Berlin,Empire
1089,Dal segno,Erissena,Male,Seconda donna,Berlin,Empire
1090,Dal segno,Alessandro,Male,Tenore,Berlin,Empire
1091,Dal segno,Alessandro,Male,Tenore,Berlin,Empire
1092,Dal segno,Alessandro,Male,Tenore,Berlin,Empire
1093,Da capo,Poro,Male,Primo soprano,Berlin,Empire
1094,Dal segno,Gandarte,Male,Secondo uomo,Berlin,Empire
1095,Dal segno,Erissena,Male,Seconda donna,Berlin,Empire
1096,Da capo,Erissena,Male,Seconda donna,Naples,Italy
1097,Da capo,Erissena,Male,Seconda donna,Naples,Italy
1098,ABA,Poro,Male,Primo soprano,Rome,Italy
1099,ABA,Erissena,Male,Seconda donna,Rome,Italy
1100,A,Poro,Male,Primo soprano,Rome,Italy
1101,ABA,Cleofide,Male,Prima donna,Rome,Italy
1102,ABCD,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Rome,Italy
1103,ABA,Timagene,Male,Parte ultima,Rome,Italy
1104,Dal segno,Matusio,Male,Parte ultima,Copenhagen,Empire
1105,Dal segno,Dircea,Male,Prima donna,Copenhagen,Empire
1106,Dal segno,Demofoonte,Male,Tenore,Copenhagen,Empire
1107,Dal segno,Creusa,Male,Seconda donna,Copenhagen,Empire
1108,A,Cleofide,Male,Prima donna,Naples,Italy
1109,ABA,Gandarte,Male,Secondo uomo,Naples,Italy
1110,ABA,Poro,Male,Primo soprano,Naples,Italy
1111,ABA,Alessandro,Male,Tenore,Naples,Italy
1112,Dal segno,Erissena,Male,Seconda donna,Naples,Italy
1113,A,Poro,Male,Primo soprano,Naples,Italy
1114,AB,Cleofide,Male,Prima donna,Naples,Italy
1115,ABC,"Cleofide,Poro,Alessandro",Male&Male&Male,"Prima donna,Primo soprano,Tenore",Naples,Italy
1116,A,Poro,Male,Primo soprano,Berlin,Empire
1117,Dal segno,Cleofide,Male,Prima donna,Berlin,Empire
1118,ABA,Gandarte,Male,Secondo uomo,Rome,Italy
1119,ABA,Cleofide,Male,Prima donna,Rome,Italy
1120,ABA,Timagene,Male,Parte ultima,Rome,Italy
1121,ABA,Erissena,Male,Seconda donna,Naples,Italy
1122,AB,Cleofide,Male,Prima donna,Naples,Italy
1123,Dal segno,Poro,Male,Primo soprano,Naples,Italy
1124,Da capo,Cleofide,Male,Prima donna,Naples,Italy
1125,Dal segno,Poro,Male,Primo soprano,Berlin,Empire
1126,Da capo,Alessandro,Male,Tenore,Naples,Italy
1127,Dal segno,Timagene,Male,Parte ultima,Berlin,Empire
1128,ABA,Poro,Male,Primo soprano,Naples,Italy
1129,Da capo,Poro,Male,Primo soprano,Naples,Italy
1130,Dal segno,Poro,Male,Primo soprano,Mantua,Italy
1131,Dal segno,Erissena,Male,Seconda donna,Naples,Italy
1132,Dal segno,Alessandro,Male,Tenore,Mantua,Italy
1133,ABA,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Naples,Italy
1134,Dal segno,Erissena,Male,Seconda donna,Reggio Emilia,Italy
1135,A,Poro,Male,Primo soprano,Mantua,Italy
1136,Da capo,Gandarte,Male,Secondo uomo,Naples,Italy
1137,Da capo,Timagene,Male,Parte ultima,Naples,Italy
1138,Dal segno,Cleofide,Male,Prima donna,Mantua,Italy
1139,Da capo,Timagene,Male,Parte ultima,Naples,Italy
1140,Da capo,Poro,Male,Primo soprano,Naples,Italy
1141,Dal segno,Gandarte,Male,Secondo uomo,Reggio Emilia,Italy
1142,AA,Alessandro,Male,Tenore,Mantua,Italy
1143,ABC,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Mantua,Italy
1144,Dal segno,Didone,Male,Prima donna,Madrid,Spain
1145,Dal segno,Didone,Male,Prima donna,Madrid,Spain
1146,Dal segno,Enea,Male,Primo soprano,Madrid,Spain
1147,Dal segno,Osmida,Male,Parte ultima,Madrid,Spain
1148,Dal segno,Araspe,Male,Secondo uomo,Madrid,Spain
1149,Dal segno,Erissena,Male,Seconda donna,Mantua,Italy
1150,ABA,Poro,Male,Primo soprano,Mantua,Italy
1151,ABA,Cleofide,Male,Prima donna,Mantua,Italy
1152,Dal segno,Alessandro,Male,Tenore,Mantua,Italy
1153,Dal segno,Timagene,Male,Parte ultima,Berlin,Empire
1154,Dal segno,Cleofide,Male,Prima donna,Berlin,Empire
1155,Dal segno,Poro,Male,Primo soprano,Berlin,Empire
1156,ABA,Cleofide,Male,Prima donna,Mantua,Italy
1157,ABA,Gandarte,Male,Secondo uomo,Mantua,Italy
1158,ABA,Alessandro,Male,Tenore,Mantua,Italy
1159,A,Didone,Male,Prima donna,Madrid,Spain
1160,Da capo,Cleofide,Male,Prima donna,Berlin,Empire
1161,Da capo,Iarba,Male,Tenore,Madrid,Spain
1162,Dal segno,Enea,Male,Primo soprano,Madrid,Spain
1163,ABA,Poro,Male,Primo soprano,Mantua,Italy
1164,ABA,Gandarte,Male,Secondo uomo,Reggio Emilia,Italy
1165,Dal segno,Selene,Male,Seconda donna,Madrid,Spain
1166,Dal segno,Didone,Male,Prima donna,Madrid,Spain
