Id,first_phrase_measure,length_first_phrase
0429,8.0,15.0
0430,13.0,15.5
0431,19.0,22.0
0432,19.0,26.0
0433,8.0,35.0
0434,18.0,27.0
0435,25.0,13.0
0436,3.0,28.0
0437,20.0,38.0
0438,,24.0
0439,4.5,9.5
0440,14.0,25.0
0441,2.0,8.5
0442,16.0,14.0
0443,23.0,46.0
0444,18.0,27.0
0445,24.0,27.0
0446,12.0,37.0
0447,,14.0
0448,16.0,12.0
0449,3.0,22.0
0450,15.0,25.0
0451,7.0,21.0
0452,9.5,14.0
0453,31.0,51.0
0454,16.0,15.0
0455,10.0,37.0
0456,20.0,32.0
0457,22.0,23.0
0458,16.0,22.0
0459,16.0,24.0
0460,,33.0
0461,16.0,28.0
0462,24.0,31.0
0463,12.0,17.0
0464,30.0,35.0
0465,15.0,21.0
0466,14.0,39.0
0467,20.0,16.0
0468,23.0,28.0
0469,16.0,27.0
0470,,14.0
0471,15.0,27.0
0472,15.0,21.0
0473,13.0,21.0
0474,12.0,21.0
0475,10.0,27.0
0476,33.0,35.0
0477,20.0,28.0
0478,11.0,14.5
0479,6.5,9.0
0480,8.0,14.0
0481,11.0,18.5
0482,14.0,12.0
0483,8.0,11.0
0484,8.0,54.0
0485,20.0,32.0
0486,11.0,13.0
0487,25.0,34.0
0488,5.5,12.0
0489,19.0,23.0
0490,8.0,32.0
0491,2.0,18.0
0492,,17.0
0493,23.0,40.0
0494,31.0,22.0
0495,13.0,20.0
0496,,34.0
0497,15.0,20.5
0498,14.0,24.0
0499,18.0,26.0
0500,,15.0
0501,6.0,11.0
0502,17.0,19.5
0503,7.5,8.0
0504,28.0,24.0
0505,17.0,12.0
0506,19.0,32.0
0507,,26.0
0508,11.0,15.5
0509,34.0,46.0
0510,14.0,12.0
0511,,20.0
0512,13.0,17.0
0513,7.0,10.5
0514,13.0,14.0
0515,19.0,32.0
0516,30.0,44.0
0517,16.0,38.0
0518,21.0,35.0
0519,14.0,26.0
0520,11.0,36.0
0521,,10.5
0522,14.0,20.0
0523,12.0,23.0
0524,,16.0
0525,20.0,24.0
0526,11.0,25.0
0527,6.0,15.0
0528,22.0,32.0
0529,18.0,35.0
0530,7.0,26.0
0531,,17.5
0532,7.0,36.0
0533,20.0,43.0
0534,13.0,29.0
0535,12.0,21.0
0536,,25.0
0537,18.0,26.0
0538,23.0,32.0
0539,6.0,17.0
0540,23.0,28.0
0541,26.0,28.0
0542,10.0,17.0
0543,,14.5
0544,9.0,16.0
0545,10.5,14.5
0546,9.5,15.0
0547,33.0,38.0
